tournament,year,home_team,away_team,Expr2,label,home_score,away_score
FIFA World Cup,2010.00,South Africa,Mexico,0,0,1,1
FIFA World Cup,2010.00,Uruguay,France,0,0,0,0
FIFA World Cup,2010.00,Argentina,Nigeria,1,1,1,0
FIFA World Cup,2010.00,England,USA,0,0,1,1
FIFA World Cup,2010.00,Korea Republic,Greece,2,2,2,0
FIFA World Cup,2010.00,Algeria,Slovenia,-1,-1,0,1
FIFA World Cup,2010.00,Germany,Australia,4,3,4,0
FIFA World Cup,2010.00,Serbia,Ghana,-1,-1,0,1
FIFA World Cup,2010.00,Italy,Paraguay,0,0,1,1
FIFA World Cup,2010.00,Japan,Cameroon,1,1,1,0
FIFA World Cup,2010.00,Netherlands,Denmark,2,2,2,0
FIFA World Cup,2010.00,Brazil,Korea DPR,1,1,2,1
FIFA World Cup,2010.00,Ivory Coast,Portugal,0,0,0,0
FIFA World Cup,2010.00,New Zealand,Slovakia,0,0,1,1
FIFA World Cup,2010.00,Honduras,Chile,-1,-1,0,1
FIFA World Cup,2010.00,South Africa,Uruguay,-3,-3,0,3
FIFA World Cup,2010.00,Spain,Switzerland,-1,-1,0,1
FIFA World Cup,2010.00,Argentina,Korea Republic,3,3,4,1
FIFA World Cup,2010.00,France,Mexico,-2,-2,0,2
FIFA World Cup,2010.00,Greece,Nigeria,1,1,2,1
FIFA World Cup,2010.00,England,Algeria,0,0,0,0
FIFA World Cup,2010.00,Germany,Serbia,-1,-1,0,1
FIFA World Cup,2010.00,Slovenia,USA,0,0,2,2
FIFA World Cup,2010.00,Cameroon,Denmark,-1,-1,1,2
FIFA World Cup,2010.00,Ghana,Australia,0,0,1,1
FIFA World Cup,2010.00,Netherlands,Japan,1,1,1,0
FIFA World Cup,2010.00,Brazil,Ivory Coast,2,2,3,1
FIFA World Cup,2010.00,Italy,New Zealand,0,0,1,1
FIFA World Cup,2010.00,Slovakia,Paraguay,-2,-2,0,2
FIFA World Cup,2010.00,Chile,Switzerland,1,1,1,0
FIFA World Cup,2010.00,Portugal,Korea DPR,7,3,7,0
FIFA World Cup,2010.00,Spain,Honduras,2,2,2,0
FIFA World Cup,2010.00,Greece,Argentina,-2,-2,0,2
FIFA World Cup,2010.00,Mexico,Uruguay,-1,-1,0,1
FIFA World Cup,2010.00,Nigeria,Korea Republic,0,0,2,2
FIFA World Cup,2010.00,South Africa,France,1,1,2,1
FIFA World Cup,2010.00,Australia,Serbia,1,1,2,1
FIFA World Cup,2010.00,Ghana,Germany,-1,-1,0,1
FIFA World Cup,2010.00,Slovenia,England,-1,-1,0,1
FIFA World Cup,2010.00,USA,Algeria,1,1,1,0
FIFA World Cup,2010.00,Cameroon,Netherlands,-1,-1,1,2
FIFA World Cup,2010.00,Denmark,Japan,-2,-2,1,3
FIFA World Cup,2010.00,Paraguay,New Zealand,0,0,0,0
FIFA World Cup,2010.00,Slovakia,Italy,1,1,3,2
FIFA World Cup,2010.00,Chile,Spain,-1,-1,1,2
FIFA World Cup,2010.00,Korea DPR,Ivory Coast,-3,-3,0,3
FIFA World Cup,2010.00,Portugal,Brazil,0,0,0,0
FIFA World Cup,2010.00,Switzerland,Honduras,0,0,0,0
FIFA World Cup,2010.00,Uruguay,Korea Republic,1,1,2,1
FIFA World Cup,2010.00,USA,Ghana,-1,-1,1,2
FIFA World Cup,2010.00,Argentina,Mexico,2,2,3,1
FIFA World Cup,2010.00,Germany,England,3,3,4,1
FIFA World Cup,2010.00,Brazil,Chile,3,3,3,0
FIFA World Cup,2010.00,Netherlands,Slovakia,1,1,2,1
FIFA World Cup,2010.00,Paraguay,Japan,0,0,0,0
FIFA World Cup,2010.00,Spain,Portugal,1,1,1,0
FIFA World Cup,2010.00,Netherlands,Brazil,1,1,2,1
FIFA World Cup,2010.00,Uruguay,Ghana,0,0,1,1
FIFA World Cup,2010.00,Argentina,Germany,-4,-3,0,4
FIFA World Cup,2010.00,Paraguay,Spain,-1,-1,0,1
FIFA World Cup,2010.00,Uruguay,Netherlands,-1,-1,2,3
FIFA World Cup,2010.00,Germany,Spain,-1,-1,0,1
FIFA World Cup,2010.00,Uruguay,Germany,-1,-1,2,3
FIFA World Cup,2010.00,Netherlands,Spain,-1,-1,0,1
FIFA World Cup,2014.00,Brazil,Croatia,2,2,3,1
FIFA World Cup,2014.00,Chile,Australia,2,2,3,1
FIFA World Cup,2014.00,Mexico,Cameroon,1,1,1,0
FIFA World Cup,2014.00,Spain,Netherlands,-4,-3,1,5
FIFA World Cup,2014.00,Colombia,Greece,3,3,3,0
FIFA World Cup,2014.00,England,Italy,-1,-1,1,2
FIFA World Cup,2014.00,Ivory Coast,Japan,1,1,2,1
FIFA World Cup,2014.00,Uruguay,Costa Rica,-2,-2,1,3
FIFA World Cup,2014.00,Argentina,Bosnia-Herzegovina,1,1,2,1
FIFA World Cup,2014.00,France,Honduras,3,3,3,0
FIFA World Cup,2014.00,Switzerland,Ecuador,1,1,2,1
FIFA World Cup,2014.00,Germany,Portugal,4,3,4,0
FIFA World Cup,2014.00,Ghana,USA,-1,-1,1,2
FIFA World Cup,2014.00,Iran,Nigeria,0,0,0,0
FIFA World Cup,2014.00,Belgium,Algeria,1,1,2,1
FIFA World Cup,2014.00,Brazil,Mexico,0,0,0,0
FIFA World Cup,2014.00,Russia,Korea Republic,0,0,1,1
FIFA World Cup,2014.00,Australia,Netherlands,-1,-1,2,3
FIFA World Cup,2014.00,Cameroon,Croatia,-4,-3,0,4
FIFA World Cup,2014.00,Spain,Chile,-2,-2,0,2
FIFA World Cup,2014.00,Colombia,Ivory Coast,1,1,2,1
FIFA World Cup,2014.00,Japan,Greece,0,0,0,0
FIFA World Cup,2014.00,Uruguay,England,1,1,2,1
FIFA World Cup,2014.00,Honduras,Ecuador,-1,-1,1,2
FIFA World Cup,2014.00,Italy,Costa Rica,-1,-1,0,1
FIFA World Cup,2014.00,Switzerland,France,-3,-3,2,5
FIFA World Cup,2014.00,Argentina,Iran,1,1,1,0
FIFA World Cup,2014.00,Germany,Ghana,0,0,2,2
FIFA World Cup,2014.00,Nigeria,Bosnia-Herzegovina,1,1,1,0
FIFA World Cup,2014.00,Belgium,Russia,1,1,1,0
FIFA World Cup,2014.00,Korea Republic,Algeria,-2,-2,2,4
FIFA World Cup,2014.00,USA,Portugal,0,0,2,2
FIFA World Cup,2014.00,Australia,Spain,-3,-3,0,3
FIFA World Cup,2014.00,Brazil,Cameroon,3,3,4,1
FIFA World Cup,2014.00,Croatia,Mexico,-2,-2,1,3
FIFA World Cup,2014.00,Netherlands,Chile,2,2,2,0
FIFA World Cup,2014.00,Costa Rica,England,0,0,0,0
FIFA World Cup,2014.00,Greece,Ivory Coast,1,1,2,1
FIFA World Cup,2014.00,Italy,Uruguay,-1,-1,0,1
FIFA World Cup,2014.00,Japan,Colombia,-3,-3,1,4
FIFA World Cup,2014.00,Bosnia-Herzegovina,Iran,2,2,3,1
FIFA World Cup,2014.00,Ecuador,France,0,0,0,0
FIFA World Cup,2014.00,Honduras,Switzerland,-3,-3,0,3
FIFA World Cup,2014.00,Nigeria,Argentina,-1,-1,2,3
FIFA World Cup,2014.00,Algeria,Russia,0,0,1,1
FIFA World Cup,2014.00,Korea Republic,Belgium,-1,-1,0,1
FIFA World Cup,2014.00,Portugal,Ghana,1,1,2,1
FIFA World Cup,2014.00,USA,Germany,-1,-1,0,1
FIFA World Cup,2014.00,Brazil,Chile,0,0,1,1
FIFA World Cup,2014.00,Colombia,Uruguay,2,2,2,0
FIFA World Cup,2014.00,Costa Rica,Greece,0,0,1,1
FIFA World Cup,2014.00,Netherlands,Mexico,1,1,2,1
FIFA World Cup,2014.00,France,Nigeria,2,2,2,0
FIFA World Cup,2014.00,Germany,Algeria,1,1,2,1
FIFA World Cup,2014.00,Argentina,Switzerland,1,1,1,0
FIFA World Cup,2014.00,Belgium,USA,1,1,2,1
FIFA World Cup,2014.00,Brazil,Colombia,1,1,2,1
FIFA World Cup,2014.00,France,Germany,-1,-1,0,1
FIFA World Cup,2014.00,Argentina,Belgium,1,1,1,0
FIFA World Cup,2014.00,Netherlands,Costa Rica,0,0,0,0
FIFA World Cup,2014.00,Brazil,Germany,-6,-3,1,7
FIFA World Cup,2014.00,Netherlands,Argentina,0,0,0,0
FIFA World Cup,2014.00,Brazil,Netherlands,-3,-3,0,3
FIFA World Cup,2014.00,Germany,Argentina,1,1,1,0
