,TeamA,ScoreA,ScoreB,TeamB,Label
0,Russia,1.0,0.0,Saudi Arabia,0.0
1,Egypt,1.0,4.0,Uruguay,4.0
2,Portugal,2.0,5.0,Spain,5.0
3,Morocco,0.0,0.0,Iran,0.0
4,France,3.0,1.0,Australia,1.0
5,Peru,2.0,5.0,Denmark,5.0
6,Argentina,3.0,0.0,Iceland,0.0
7,Croatia,0.0,2.0,Nigeria,2.0
8,Brazil,1.0,0.0,Switzerland,0.0
9,Costa Rica,2.0,1.0,Serbia,1.0
10,Germany,3.0,1.0,Mexico,1.0
11,Sweden,0.0,1.0,Korea Republic,1.0
12,Belgium,3.0,0.0,Panama,0.0
13,Tunisia,0.0,1.0,England,1.0
14,Poland,2.0,1.0,Senegal,1.0
15,Colombia,2.0,0.0,Japan,0.0
16,Russia,0.0,0.0,Egypt,0.0
17,Uruguay,3.0,2.0,Saudi Arabia,2.0
18,Portugal,2.0,0.0,Morocco,0.0
19,Iran,0.0,3.0,Spain,3.0
20,France,1.0,0.0,Peru,0.0
21,Denmark,1.0,3.0,Australia,3.0
22,Argentina,3.0,1.0,Croatia,1.0
23,Nigeria,0.0,0.0,Iceland,0.0
24,Brazil,1.0,0.0,Costa Rica,0.0
25,Serbia,1.0,2.0,Switzerland,2.0
26,Germany,4.0,0.0,Sweden,0.0
27,Korea Republic,0.0,0.0,Mexico,0.0
28,Belgium,3.0,0.0,Tunisia,0.0
29,England,3.0,0.0,Panama,0.0
30,Poland,1.0,2.0,Colombia,2.0
31,Japan,0.0,0.0,Senegal,0.0
32,Uruguay,2.0,0.0,Russia,0.0
33,Saudi Arabia,0.0,0.0,Egypt,0.0
34,Iran,0.0,3.0,Portugal,3.0
35,Spain,3.0,2.0,Morocco,2.0
36,Denmark,0.0,1.0,France,1.0
37,Australia,0.0,0.0,Peru,0.0
38,Nigeria,0.0,3.0,Argentina,3.0
39,Iceland,0.0,1.0,Croatia,1.0
40,Serbia,0.0,4.0,Brazil,4.0
41,Switzerland,2.0,1.0,Costa Rica,1.0
42,Korea Republic,0.0,3.0,Germany,3.0
43,Mexico,2.0,1.0,Sweden,1.0
44,England,2.0,0.0,Belgium,0.0
45,Panama,0.0,0.0,Tunisia,0.0
46,Japan,0.0,0.0,Poland,0.0
47,Senegal,1.0,0.0,Colombia,0.0
