nation,Fifa Ranking,rating,year,goal
Argentina,5,69.60,2010.00,18
Argentina,5,81.66,2014.00,18
Argentina,5,86.18,2018.00,18
Australia,26,62.50,2010.00,6
Australia,26,72.90,2014.00,6
Australia,26,73.81,2018.00,6
Belgium,3,71.00,2010.00,6
Belgium,3,84.63,2014.00,6
Belgium,3,86.81,2018.00,6
Brazil,2,69.54,2010.00,20
Brazil,2,83.18,2014.00,20
Brazil,2,86.00,2018.00,20
Colombia,16,69.72,2010.00,12
Colombia,16,79.72,2014.00,12
Colombia,16,80.90,2018.00,12
Costa Rica,25,65.54,2010.00,5
Costa Rica,25,73.45,2014.00,5
Costa Rica,25,75.27,2018.00,5
Croatia,18,70.45,2010.00,6
Croatia,18,82.00,2014.00,6
Croatia,18,82.81,2018.00,6
Denmark,12,67.60,2010.00,3
Denmark,12,76.72,2014.00,3
Denmark,12,79.45,2018.00,3
Egypt,46,65.88,2010.00,0
Egypt,46,73.00,2014.00,0
Egypt,46,74.54,2018.00,0
England,13,59.00,2010.00,5
England,13,80.18,2014.00,5
England,13,82.45,2018.00,5
France,7,68.54,2010.00,11
France,7,79.46,2014.00,11
France,7,85.45,2018.00,11
Germany,1,66.27,2010.00,34
Germany,1,86.00,2014.00,34
Germany,1,85.58,2018.00,34
Iceland,22,66.18,2010.00,0
Iceland,22,72.18,2014.00,0
Iceland,22,73.81,2018.00,0
Iran,36,71.40,2010.00,1
Iran,36,71.42,2014.00,1
Iran,36,72.27,2018.00,1
Japan,60,63.54,2010.00,6
Japan,60,73.90,2014.00,6
Japan,60,76.27,2018.00,6
Korea Republic,61,63.27,2010.00,9
Korea Republic,61,73.18,2014.00,9
Korea Republic,61,74.90,2018.00,9
Mexico,15,61.72,2010.00,9
Mexico,15,77.72,2014.00,9
Mexico,15,79.18,2018.00,9
Morocco,42,68.70,2010.00,0
Morocco,42,75.90,2014.00,0
Morocco,42,78.63,2018.00,0
Nigeria,47,63.90,2010.00,6
Nigeria,47,74.91,2014.00,6
Nigeria,47,75.81,2018.00,6
Panama,55,68.00,2010.00,0
Panama,55,67.09,2014.00,0
Panama,55,68.00,2018.00,0
Peru,11,66.72,2010.00,0
Peru,11,73.81,2014.00,0
Peru,11,74.27,2018.00,0
Poland,10,61.72,2010.00,0
Poland,10,76.81,2014.00,0
Poland,10,80.54,2018.00,0
Portugal,4,70.33,2010.00,11
Portugal,4,80.27,2014.00,11
Portugal,4,83.54,2018.00,11
Russia,66,63.45,2010.00,2
Russia,66,74.14,2014.00,2
Russia,66,77.16,2018.00,2
Saudi Arabia,70,69.81,2014.00,0
Saudi Arabia,70,73.90,2018.00,0
Senegal,28,62.45,2010.00,0
Senegal,28,75.27,2014.00,0
Senegal,28,79.00,2018.00,0
Serbia,35,66.54,2010.00,2
Serbia,35,78.72,2014.00,2
Serbia,35,80.27,2018.00,2
Spain,8,64.45,2010.00,12
Spain,8,86.36,2014.00,12
Spain,8,86.81,2018.00,12
Sweden,23,61.72,2010.00,0
Sweden,23,76.45,2014.00,0
Sweden,23,77.16,2018.00,0
Switzerland,6,62.27,2010.00,8
Switzerland,6,76.81,2014.00,8
Switzerland,6,78.63,2018.00,8
Tunisia,14,63.45,2010.00,0
Tunisia,14,71.72,2014.00,0
Tunisia,14,72.81,2018.00,0
Uruguay,17,68.00,2010.00,15
Uruguay,17,79.72,2014.00,15
Uruguay,17,81.81,2018.00,15
